titulo,precio,Rating,plataformas,categoria,genero,link,img
Sniper Elite 5,38,0,"PC
PS4
XBO","La galardonada franquicia de Karl Fairburne vuelve para destapar la Operación Kraken en la Francia de 1944. Disparar con un fusil de francotirador y disfrutar de la cámara de muertes mejorada nunca había sido tan satisfactorio. Lucha en mapas inmersivos para detener la máquina de guerra nazi. Sniper Elite 5 es un videojuego de acción first person shooter a cargo de Rebellion para PC, PlayStation 4, Xbox One, PlayStation 5 y Xbox Series.","Acción
first_person_shooter",/meristation/juegos/sniper_elite_5/,//as01.epimg.net/t.gif
Destiny 2: La Reina Bruja,84,0,"PC
PS4
XBO","Hermana de las Formas, Quiebraespadas, Reina Bruja… ¿Cuál de mis muchos nombres pronuncias cuando hablas de mí? Has caminado sigilosamente por mi patio, entre todos aquellos que veneran la Luz que les he entregado, ¿y aun así no admites el control que tengo sobre este poder? Destiny 2: La Reina Bruja es una expansión del videojuego de acción first person shooter Destiny 2 a cargo de Bungie para PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Stadia.","Acción
first_person_shooter",/meristation/juegos/destiny_2_la_reina_bruja/,//as01.epimg.net/t.gif
Maglam Lord,45,9,"PS4
NSW",Un juego rápido y frenético para conseguir batallas intensas. Enfréntate a poderosas bestias en batallas rápidas mientras intentas recuperar tu poder. Llena el medidor de BD para liberar los ataques definitivos del señor demonio de las espadas para conseguir más estrategias de combate. ¡Embárcate en una aventura épica para despertar todo tu poder! Maglam Lord es un videojuego de acción RPG a cargo de Felistella y PQube para PlayStation 4 y Switch.,"Acción
RPG",/meristation/juegos/maglam_lord/,//as01.epimg.net/t.gif
HEDZ (Head Extreme Destruction Zone),63,8,PC,"¡Conviértete en un caníbal alienígena y prepárate a tomar parte en una competición de gladiadores intergaláctica! Lucha contra los 255 adversarios más insólitos que has conocido jamás, desde la cabeza del roquero punk que escupe proyectiles, hasta la del pastor de un ojo, que lanza ovejas termodirigidas.","Acción
arcade",/meristation/juegos/hedz_head_extreme_destruction_zone/,//as01.epimg.net/img/meristation/placeholder-cover.png
Heavy Gear 2,82,10,PC,"Juego de acción en el que controlamos un ejército de robots, y que combina el arcade con grandes dosis de estrategia.",Acción,/meristation/juegos/heavy_gear_2/,//as01.epimg.net/t.gif
Heart Of Darkness,22,9,PC,"Heart Of Darkness es una increible experiencia gráfica, que combina técnicas de animación jamás vistas con unos gráficos y jugabilidad de película.",Plataformas,/meristation/juegos/heart_of_darkness/,//as01.epimg.net/t.gif
Half-Life: Opposing Force,2,6,PC,"Half Life Opposing Force, es la expansión oficial de Half Life, con una nueva aventura, nuevas armas y criaturas, nuevos niveles en multijugador y algunos efectos de explosiones.",Acción,/meristation/juegos/halflife_opposing_force/,//as01.epimg.net/t.gif
Original War,65,4,PC,"Original War es un juego de estrategia en tiempo real desarrollado por una empresa hasta ahora desconocida llamada Altar Interactive. Se trata de una mezcla entre Command & Conquer y Commandos, en la que rusos y americanos se disputan el poder.",Estrategia,/meristation/juegos/original_war/,//as01.epimg.net/t.gif
Gunship!,54,10,PC,"Versión actualizada de uno de los simuladores de vuelo clásicos, el Gunship de Microprose.",Simulación,/meristation/juegos/gunship/,//as01.epimg.net/t.gif
Gunlok,13,4,PC,"Gunlok es, esencialmente, un juego de acción con una pequeña porción de componente estratégico, luciendo gráficos realizados en 3D en perspectiva isométrica, que ofrecen la posibilidad de rotar la cámara y elegir su grado de inclinación.",Acción,/meristation/juegos/gunlok/,//as01.epimg.net/t.gif
Grim Fandango,26,2,PC,"Grim Fandango es una desternillante aventura en la que encarnaremos el papel de Manny Calavera, un agente de viajes del país de los muertos.",Aventura gráfica,/meristation/juegos/grim_fandango/,//as01.epimg.net/t.gif
Las Grandes Batallas de Julio César,97,8,PC,"En este juego tendrás la oportunidad de emular al mismísimo Cesar,enfrentándote a sus adversarios históricos en sucesivas batallas o bien ponerte al mando de las salvajes hordas bárbaras que destruyeron al imperio más grandioso conocido por la humanidad.",Estrategia,/meristation/juegos/las_grandes_batallas_de_julio_cesar/,//as01.epimg.net/t.gif
Grand Touring Cars,60,1,PC,Grand Touring Cars es un completo simulador automovilístico muy parecido a Gran Turismo.,Conducción,/meristation/juegos/grand_touring_cars/,//as01.epimg.net/t.gif
Grand Prix World,40,3,PC,Juego de estrategia basado en el mundo de la Fórmula Uno.,Estrategia,/meristation/juegos/grand_prix_world/,//as01.epimg.net/t.gif
GP 500,51,7,PC,"Simulador de motos con un increible nivel de realismo, tanto en el comportamiento de las motos como en su manejo.",Conducción,/meristation/juegos/gp_500/,//as01.epimg.net/t.gif
Gorky 17,7,0,PC,"Versión europea de Odium, un juego de estrategia por turnos, con una atmósfera similar a Resident Evil.",Estrategia,/meristation/juegos/gorky_17/,//as01.epimg.net/t.gif
Glover,73,7,PC,"Glover es un divertido juego de plafaformas en el que manejaremos un guante, que va guiando a una pelota.",Plataformas,/meristation/juegos/glover/,//as01.epimg.net/t.gif
Gift,29,9,PC,"Gift es un juego de plataformas pensado para los más pequeños, sencillo, divertido y con unos buenos gráficos que cumple perfectamente con su cometido, que no es otro que el de entretener.",Plataformas,/meristation/juegos/gift/,//as01.epimg.net/t.gif
Command & Conquer: Renegade,67,9,PC,"Shooter ambientado en el universo de Command & Conquer, lo que supone el primer juego en primera persona de la compañía. Promete una I.A muy evolucionada y un entorno 3D de gran calidad con el que espera alcanzar un puesto entre los más grandes.",Acción,/meristation/juegos/command_and_conquer_renegade/,//as01.epimg.net/t.gif
Streets of Sim City,0,7,PC,"En la época entre Sim City 2000 y Sim City 3000, maxis realizó este experimento en el que debías realizar persecuciones de coches por las calles de tus ciudades creadas con SimCity 2000.",Conducción,/meristation/juegos/streets_of_sim_city/,//as01.epimg.net/t.gif
Risk,21,3,PC,"¿ Quien no conoce el famoso juego de tablero Risk ? En esta ocasión Hasbro nos presenta esta versión para PC, con importantes novedades.",Estrategia,/meristation/juegos/risk/,//as01.epimg.net/t.gif
Men in Black: The Game,92,5,PC,"Basado en la pelicula del mismo nombre, este juego que protagonizan los dos extraños hombres de negro sigue un desarollo similar a los clasicos ""Alone in the Dark"".",Aventura gráfica,/meristation/juegos/men_in_black_the_game/,//as01.epimg.net/t.gif
Star Wars : Rebellion,98,7,PC,"Rebellion es la primera incursión de Lucasarts en el campo de la estrategia pura en el universo de Star Wars. No cabe duda de que tanto los aficionados a los juegos de estrategia en general como a Star Wars, este programa les va a saber a gloria. Sistemas por conquistar, pactos que sellar y espectaculares batallas entre flotas nos aguardan.",Estrategia,/meristation/juegos/star_wars_rebellion/,//as01.epimg.net/t.gif
NHL '98,75,8,PC,"NHL es una de las series deportivas de EA mas famosa en los EEUU, donde el Hockey sobre Hielo es un deporte de masas. El cuidado que EA da a esta serie haria palidecer a cualquier FIFA. En esta ocasión nos encontramos con la edición del 98",Deportes,/meristation/juegos/nhl_98/,//as01.epimg.net/t.gif
Turok: Dinosaur Hunter,69,4,PC,"Conversión del juego homónimo de Nintendo 64, Turok es un arcade en primera persona que, sin llegar a ser un super éxito se ha ganado un cierto respeto en el dificil mundo de los ""Quakes"".",Acción,/meristation/juegos/turok_dinosaur_hunter/,//as01.epimg.net/t.gif
Zork: Grand Inquisitor,61,1,PC,"La magia ha sido desterrada del Gran Imperio Subterráneo por el dictador malvado de turno. Hace falta un aventurero experto y avezado, sin miedo al ridículo, para sacar adelante la situación. Pero como no hemos encontrado a nadie de tal valía, ¿qué tal si nos acompañas tú mismo, pecador?",Aventura gráfica,/meristation/juegos/zork_grand_inquisitor/,//as01.epimg.net/t.gif
PC Fútbol 6.0,68,9,PC,"Hablar de PC Fútbol es hablar de un clasico del Software Español. Odiado por muchos, aclamado otros, siempre rodeado de polémicas, la versión 6.0 nos ofrecia la posibilidad de jugar la temporada 97/98",Deportes,/meristation/juegos/pc_futbol_60/,//as01.epimg.net/t.gif
Perfect Assassin,40,8,PC,"Perfect Assassin es un futurista título realizado por Synthetic Dimensions y diseñado gracias a la contribución del eminente dibujante de historias fantásticas Kev Walker, autor del cómic 2000AD y colaborador en ""Juez Dred"".","Acción
Aventura",/meristation/juegos/perfect_assassin/,//as01.epimg.net/t.gif
4 Wheel Thunder,2,1,DC,"Llega a DC 4 wheel thunder, las nuevas carreras off road de tu consola preferida.",Conducción,/meristation/juegos/4_wheel_thunder/,//as01.epimg.net/t.gif
